star_id,ra_deg,dec_deg,mag,reference_epoch_jyear,pm_ra_cosdec_mas_per_year,pm_dec_mas_per_year
TYC 0099-00575-1,78.44686667,0.56046333,6.491,2000.0,5.500,-18.300
TYC 0099-00935-1,78.15513750,0.08032972,7.257,2000.0,16.900,5.500
TYC 0099-02884-1,77.93895806,1.03705444,6.259,2000.0,-1.200,-17.000
TYC 0099-02884-2,77.93895028,1.03658917,7.436,2000.0,-1.200,-17.000
TYC 0100-01653-1,78.79948333,1.55613889,7.361,2000.0,1.900,5.500
TYC 0101-00323-1,82.18869194,1.64393556,6.866,2000.0,0.000,0.400
TYC 0101-00840-1,82.17536417,1.22702972,7.487,2000.0,9.300,-25.200
TYC 0101-01013-1,80.77552111,1.28954139,7.293,2000.0,11.500,-8.700
TYC 0101-02344-1,82.10730583,0.02035861,6.626,2000.0,-4.000,-9.900
TYC 0101-02377-1,82.00612833,1.29824750,6.352,2000.0,0.100,0.800
TYC 0101-02396-1,81.44590611,0.52024333,6.117,2000.0,2.500,-1.100
TYC 0101-02475-1,82.47822083,1.78926167,5.714,2000.0,3.000,-1.000
TYC 0101-02568-1,81.18677861,1.84644667,4.837,2000.0,1.000,0.000
TYC 0102-00004-1,75.27509417,3.71733889,7.220,2000.0,-0.900,-4.200
TYC 0102-00266-1,75.68563417,3.45771444,7.288,2000.0,1.300,-3.600
TYC 0102-01791-1,76.59545917,2.67327333,7.466,2000.0,0.700,-5.100
TYC 0102-02639-1,75.14137056,3.61581917,6.592,2000.0,10.500,-18.200
TYC 0102-02640-1,75.13553583,3.61482667,6.950,2000.0,13.000,-16.100
TYC 0103-00590-1,77.02658583,3.74858389,7.251,2000.0,-2.500,-2.100
TYC 0103-01463-1,77.23398694,3.21878750,6.538,2000.0,-5.400,-26.400
TYC 0103-02863-1,78.32283194,2.86125361,4.620,2000.0,2.400,0.800
TYC 0103-02864-1,78.38144083,1.96766139,6.197,2000.0,7.200,1.700
TYC 0104-00165-1,79.95425667,2.51384667,7.057,2000.0,30.000,-97.600
TYC 0104-02385-1,80.18226833,2.54472972,6.544,2000.0,32.500,21.000
TYC 0104-02407-1,80.21769694,2.92881361,6.810,2000.0,-0.700,24.200
